player_name,team_name,xG,goals,penalty_goals,shots,appearances,npGoals,npShots,npShotsPG,npxG,xGPerShot,npxGPerShot,xgdiff,player_name_EN,minutes,npxGPer90,npShotsPer90,npGoalsPer90
アンデルソン ロペス,（札幌）,10.109,12,4,53,14,8,49,3.7857142857142856,7.069,0.19073584905660376,0.14426530612244898,0.931,A. Lopes,1215,0.5236296296296297,3.6296296296296298,0.5925925925925926
オナイウ 阿道,（横浜FM）,9.469,12,0,47,20,12,47,2.35,9.469,0.20146808510638298,0.20146808510638298,2.5310000000000006,A. Onaiwu,1264,0.6742167721518987,3.346518987341772,0.8544303797468354
前田 大然,（横浜FM）,9.124,10,0,46,19,10,46,2.4210526315789473,9.124,0.19834782608695653,0.19834782608695653,0.8759999999999994,D. Maeda,1468,0.5593732970027249,2.8201634877384194,0.6130790190735694
古橋 亨梧,（神戸）,9.096,14,1,84,20,13,83,4.2,8.336,0.10828571428571429,0.10043373493975905,4.664,K. Furuhashi,1674,0.4481720430107527,4.462365591397849,0.6989247311827956
レアンドロ ダミアン,（川崎Ｆ）,7.835,12,0,58,20,12,58,2.9,7.835,0.13508620689655174,0.13508620689655174,4.165,L. Damiao,1266,0.5569905213270142,4.123222748815166,0.8530805687203792
チアゴ サンタナ,（清水）,7.053,7,0,55,20,7,55,2.75,7.053,0.12823636363636365,0.12823636363636365,-0.052999999999999936,T. Santana,1713,0.3705604203152364,2.8896672504378285,0.36777583187390545
キャスパー ユンカー,（浦和）,6.34,7,0,32,10,7,32,3.2,6.34,0.198125,0.198125,0.6600000000000001,K. Junker,747,0.7638554216867469,3.855421686746988,0.8433734939759037
ジュニオール サントス,（広島）,6.098,4,1,51,21,3,50,2.4285714285714284,5.338,0.11956862745098039,0.10676000000000001,-2.338,J. Santos,1409,0.3409652235628105,3.1937544357700496,0.19162526614620298
小林 悠,（川崎Ｆ）,5.188,9,0,32,18,9,32,1.7777777777777777,5.188,0.162125,0.162125,3.8120000000000003,Y. Kobayashi,730,0.6396164383561643,3.945205479452055,1.1095890410958904
上田 綺世,（鹿島）,5.003,6,0,38,14,6,38,2.7142857142857144,5.003,0.1316578947368421,0.1316578947368421,0.9969999999999999,A. Ueda,787,0.5721346886912325,4.34561626429479,0.6861499364675985
土居 聖真,（鹿島）,4.991,4,1,30,19,3,29,1.5789473684210527,4.231,0.16636666666666666,0.14589655172413793,-1.2309999999999999,S. Doi,1339,0.28438386855862585,1.9492158327109783,0.20164301717699776
エヴェラウド,（鹿島）,4.913,1,0,49,13,1,49,3.769230769230769,4.913,0.10026530612244898,0.10026530612244898,-3.9130000000000003,Everaldo,1037,0.42639344262295087,4.252651880424301,0.08678881388621022
ディエゴ オリヴェイラ,（FC東京）,4.824,8,1,29,21,7,28,1.380952380952381,4.064,0.1663448275862069,0.14514285714285716,2.936,D. Oliveira,1605,0.2278878504672897,1.5700934579439252,0.3925233644859813
長沢 駿,（大分）,4.676,4,0,29,18,4,29,1.6111111111111112,4.676,0.16124137931034482,0.16124137931034482,-0.6760000000000002,S. Nagasawa,1128,0.3730851063829787,2.3138297872340425,0.3191489361702128
クレーベ,（横浜FC）,4.62,3,0,41,19,3,41,2.1578947368421053,4.62,0.1126829268292683,0.1126829268292683,-1.62,Kleber,1134,0.3666666666666667,3.253968253968254,0.23809523809523808
宮代 大聖,（徳島）,4.211,5,0,35,20,5,35,1.75,4.211,0.12031428571428572,0.12031428571428572,0.7889999999999997,T. Miyashiro,1603,0.23642545227698067,1.965065502183406,0.280723643169058
三笘 薫,（川崎Ｆ）,4.151,8,0,34,20,8,34,1.7,4.151,0.12208823529411764,0.12208823529411764,3.849,K. Mitoma,1227,0.30447432762836185,2.493887530562347,0.5867970660146699
郷家 友太,（神戸）,4.106,2,0,25,18,2,25,1.3888888888888888,4.106,0.16424,0.16424,-2.106,Y. Goke,1503,0.24586826347305388,1.497005988023952,0.11976047904191617
山田 直輝,（湘南）,4.078,4,0,22,22,4,22,1,4.078,0.18536363636363637,0.18536363636363637,-0.07800000000000029,N. Yamada,1693,0.21678676904902539,1.1695215593620791,0.21264028352037803
エウベル,（横浜FM）,3.995,3,0,46,19,3,46,2.4210526315789473,3.995,0.08684782608695653,0.08684782608695653,-0.9950000000000001,Elber,1440,0.24968749999999998,2.875,0.1875
