Team,Matches,W,D,L,Pts,GF,GA,GD,xG,xGA,xGDiff
Yokohama Marinos,34,20,8,6,68,70,35,35,57.32,36.86,20.46
Kawasaki Frontale,34,20,6,8,66,65,42,23,41.57,32.93,8.64
Sanfrecce Hiroshima,34,15,10,9,55,52,41,11,44.25,38.81,5.44
Kashima Antlers,34,13,13,8,52,47,42,5,37.35,37.53,-0.18
Cerezo Osaka,34,13,12,9,51,46,40,6,39.32,37.77,1.55
FC Tokyo,34,14,7,13,49,46,43,3,36.45,40.9,-4.45
Kashiwa Reysol,34,13,8,13,47,43,44,-1,36.33,35.37,0.96
Nagoya Grampus,34,11,13,10,46,30,35,-5,39.44,37.42,2.02
Urawa Reds,34,10,15,9,45,48,39,9,47.08,34.58,12.5
Consadole Sapporo,34,11,12,11,45,45,55,-10,43.910000000000004,46.02,-2.11
Sagan Tosu,34,9,15,10,42,45,44,1,34.67,38.21,-3.54
Shonan Bellmare,34,10,11,13,41,31,39,-8,33.75,36.6,-2.85
Vissel Kobe,34,11,7,16,40,35,41,-6,41.05,40.45,0.6
Avispa Fukuoka,34,9,11,14,38,29,38,-9,33.42,32.14,1.28
Gamba Osaka,34,9,10,15,37,33,44,-11,34.37,49.09,-14.72
Kyoto Sanga,34,8,12,14,36,30,38,-8,36.44,44.84,-8.4
Shimizu S-Pulse,34,7,12,15,33,44,54,-10,39.64,44.33,-4.69
Jubilo Iwata,34,6,12,16,30,32,57,-25,36.11,48.62,-12.51
